metric,value
source_file,materials/CTA&混合中性_周度净值序列.xlsx
sheet,Sheet
header_A,净值日期
header_B,对冲9号累计净值
header_C,CTA实盘净值
rows_with_date_and_nav_b,200
rows_overlap_b_and_c,154
n_weekly_return_pairs,153
overlap_first_date,2023-03-24
overlap_last_date,2026-03-20
pearson_r_weekly_returns,0.079717667
mean_weekly_return_hedge9,0.001830492
mean_weekly_return_cta,0.000972282
std_weekly_return_hedge9,0.005241181
std_weekly_return_cta,0.007303935
min_weekly_return_hedge9,-0.016849078
max_weekly_return_hedge9,0.017063347
min_weekly_return_cta,-0.022199892
max_weekly_return_cta,0.024025553
weeks_both_positive,55
weeks_both_negative,27
weeks_mixed_sign,71
weak_linear_per_consensus_abs_r_lt_0_30,True
